Date,Open,High,Low,Close
07/25/2022,"37.6331","37.6663","37.1882","37.4582"
07/26/2022,"37.4655","37.5971","37.1805","37.2830"
07/27/2022,"37.2793","37.7685","37.2370","37.6798"
07/28/2022,"37.6761","37.7980","37.2039","37.6835"
07/29/2022,"37.6798","37.8892","37.3899","37.6847"
08/01/2022,"37.6626","38.1438","37.4032","37.8137"
08/02/2022,"37.8210","37.9596","37.3509","37.3656"
08/03/2022,"37.3619","37.9410","37.2002","37.3730"
08/04/2022,"37.3656","37.7188","37.3215","37.6633"
08/05/2022,"37.6559","37.9152","37.4341","37.6207"
08/08/2022,"37.6281","37.9671","37.4281","37.4685"
08/09/2022,"37.4648","37.9374","37.4465","37.7389"
08/10/2022,"37.7352","38.2116","37.4472","37.9500"
08/11/2022,"37.9537","38.2671","37.7625","38.0385"
08/12/2022,"38.0348","38.1819","37.7289","37.8026"
08/15/2022,"37.8100","37.9967","37.3178","37.3436"
08/16/2022,"37.3362","37.7352","37.2958","37.5911"
08/17/2022,"37.5837","37.7336","37.3583","37.6133"
08/18/2022,"37.6170","37.7484","37.0459","37.0679"
08/19/2022,"37.0753","37.5872","36.7456","36.9026"
08/22/2022,"36.8952","37.1112","36.5792","36.6345"
08/23/2022,"36.6382","37.0023","36.5460","36.7340"
08/24/2022,"36.7450","36.8482","36.5202","36.7266"
08/25/2022,"36.7340","36.9624","36.6226","36.7598"
08/26/2022,"36.7561","37.2770","36.7119","36.8189"
08/29/2022,"36.8152","37.2221","36.4542","36.8482"
08/30/2022,"36.8371","37.2334","36.7819","36.9108"
08/31/2022,"36.9035","37.1393","36.7561","37.0509"
09/01/2022,"37.0472","37.1145","36.5239","36.6492"
09/02/2022,"36.6713","37.1149","36.6382","36.7893"
09/05/2022,"36.7782","36.9476","36.4358","36.5939"
09/06/2022,"36.5866","37.0000","36.4568","36.5972"
09/07/2022,"36.6009","36.8924","36.4134","36.8814"
09/08/2022,"36.8777","37.1445","36.5786","36.8445"
09/09/2022,"36.8482","37.4631","36.8371","37.0177"
09/12/2022,"37.4120","37.7744","36.9687","37.2978"
09/13/2022,"37.3088","37.7410","36.7266","36.7376"
09/14/2022,"36.7340","37.5231","36.6971","36.8780"
